name,strategy_type,dataset_mode,freq,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,trade_count
BB_day_30min_100_2.5,BB,day,30min,-0.011114243604681717,0.04701829976908039,-0.23638123154743534,-0.337698472058341,1090
TURTLE_day_5min_55_20_20,TURTLE,day,5min,-0.03296214694498789,0.13787577730140957,-0.23907134081231327,-0.6161398733490953,6357
BB_day_60min_100_2.5,BB,day,60min,-0.015397657071191007,0.05780920795029434,-0.26635301913200854,-0.38217664176856225,658
BB_all_60min_100_3.0,BB,all,60min,-0.006965076200922682,0.02475258304026568,-0.2813878531219311,-0.31602016349139284,600
TURTLE_day_5min_50_20_20,TURTLE,day,5min,-0.04000621661099424,0.1415367678851532,-0.28265599963011995,-0.6627377670101979,6643
MA_day_5min_50_200_LS,MA,day,5min,-0.05084381496943502,0.17658868410038317,-0.28792227105861706,-0.6173869916132052,1475
MA_day_10min_10_30_LS,MA,day,10min,-0.05503216020654911,0.175124449049092,-0.3142460147932979,-0.7291807220022357,4759
MA_all_5min_10_30_LS,MA,all,5min,-0.036233380399368076,0.11404553683857979,-0.31770976229129294,-0.8169521060221494,23592
MA_day_15min_20_60_LS,MA,day,15min,-0.05785705838726518,0.1745247160839917,-0.33151211865843067,-0.6581875284244223,1586
TURTLE_day_10min_20_10_14,TURTLE,day,10min,-0.05010696314057694,0.1454062530826989,-0.3445997821846006,-0.6916131633875535,6661
BB_day_60min_40_2.0,BB,day,60min,-0.022837078662745536,0.06068798969501389,-0.37630310012759943,-0.49761945898809734,2014
MA_day_5min_5_20_L,MA,day,5min,-0.05236166089601846,0.11903894665656786,-0.4398699952132805,-0.7119197778159652,15492
BB_all_60min_100_2.5,BB,all,60min,-0.014795894387688135,0.03328095025577178,-0.44457547858394286,-0.5360478706553916,1382
TURTLE_all_5min_20_10_14,TURTLE,all,5min,-0.04416569654264868,0.09806766117529994,-0.4503594356522962,-0.8881829113448029,29129
BB_day_60min_20_1.5,BB,day,60min,-0.03947219176776762,0.08591900433078502,-0.45941165258155375,-0.6344388946517165,4533
MA_all_5min_5_20_L,MA,all,5min,-0.03613795518406626,0.07842452305074457,-0.46079917069668636,-0.8286284224416756,36907
BB_all_30min_100_3.0,BB,all,30min,-0.009228961850844875,0.019902579445569276,-0.4637068213235763,-0.37685968607588116,1276
BB_day_60min_60_2.0,BB,day,60min,-0.034522214650071104,0.07261226567884603,-0.4754322747999362,-0.6059679976410205,1652
BB_day_15min_100_2.5,BB,day,15min,-0.02099941213662826,0.039382902325088016,-0.5332113911587223,-0.36737493137946153,2099
BB_day_30min_60_2.0,BB,day,30min,-0.034916958984836266,0.06299513560592974,-0.5542802416247125,-0.6106044551227202,2844
BB_day_15min_100_3.0,BB,day,15min,-0.01619595242435934,0.028358093940963645,-0.5711227439360468,-0.32128315091411386,964
BB_day_60min_20_2.0,BB,day,60min,-0.029874807197969755,0.050580997101333965,-0.5906330224791451,-0.47950720620952514,2774
BB_day_30min_40_2.0,BB,day,30min,-0.03614970777015325,0.05923274347517822,-0.6102993994411549,-0.5809830618962122,3536
MA_day_5min_10_30_LS,MA,day,5min,-0.12429037753686989,0.17604117414752124,-0.7060301553812374,-0.9078954029565589,9762
TURTLE_day_5min_20_10_14,TURTLE,day,5min,-0.1076215967931956,0.14775127785695025,-0.7283970626460005,-0.8881924467035774,12240
BB_all_15min_100_3.0,BB,all,15min,-0.019646293489978595,0.026606608221164386,-0.738399022027574,-0.5665038442184627,2831
BB_all_30min_100_2.5,BB,all,30min,-0.02487672515894468,0.03333440890190458,-0.7462776745839742,-0.6916325466119022,2628
BB_day_10min_100_3.0,BB,day,10min,-0.022888054411602576,0.02973812973612036,-0.7696534588657207,-0.3632644016103047,1712
BB_all_60min_60_2.0,BB,all,60min,-0.03623498615552723,0.044999643929497984,-0.8052282860792731,-0.8302221587555929,3408
BB_all_60min_20_2.0,BB,all,60min,-0.03440549713359953,0.042387647484828234,-0.8116868751896233,-0.8060404651292011,6173
BB_all_60min_20_1.5,BB,all,60min,-0.050885982257364404,0.061865730846022114,-0.8225229308939184,-0.9110155432770887,9688
BB_day_30min_20_2.0,BB,day,30min,-0.051450608362610506,0.06136885446995482,-0.8383830659214908,-0.6453167303007791,5112
